P491	   0.4220426	       0        1        1
P492	  0.85402127	       0        1        1
P493	  0.59759378	       0        1        1
P494	  0.66286819	       0        1        1
P495	  0.73020605	       0        1        1
P496	  0.10197067	       0        1        1
P497	  0.79773147	       0        1        1
P498	  0.36521309	       0        1        1
P499	  0.56346992	       0        1        1
P400	   0.8831129	       0        1        1
P401	   0.6503373	       0        1        1
P402	  0.69524423	       0        1        1
P403	  0.39671789	       0        1        1
P404	  0.55823273	       0        1        1
P405	 0.081564326	       0        1        1
P406	  0.69915048	       0        1        1
P407	   0.2670861	       0        1        1
P408	 0.052599107	       0        1        1
P409	 0.071448301	       0        1        1
P410	  0.36071917	       0        1        1
P411	  0.27344852	       0        1        1
P412	  0.68070928	       0        1        1
P413	  0.42063908	       0        1        1
P414	 0.077733918	       0        1        1
P315	  0.37332627	       0        1        1
rec15	   393.99558	   1e-06     1000        1
P415	 0.058572145	       0        1        1
P316	  0.56007462	       0        1        1
rec16	   221.73097	   1e-06     1000        1
P416	 0.044340509	       0        1        1
P288	 0.077143589	       0        1        1
sdrecl2	   2.9830517	     0.5        4        1
P289	  0.21456842	       0        1        1
P290	  0.13850618	       0        1        1
P291	 0.062815053	       0        1        1
P292	  0.12667908	       0        1        1
P293	 0.085529562	       0        1        1
P294	 0.090478449	       0        1        1
P295	 0.010167636	       0        1        1
P296	  0.14606702	       0        1        1
P297	  0.19484385	       0        1        1
P298	 0.044333208	       0        1        1
P299	 0.028468924	       0        1        1
P200	 0.045430496	       0        1        1
P201	  0.37018086	       0        1        1
P202	  0.08371921	       0        1        1
P203	 0.041881024	       0        1        1
P204	 0.061928936	       0        1        1
P205	0.00046406412	       0        1        1
P206	 0.017480835	       0        1        1
P207	 0.076185724	       0        1        1
P208	2.5898602e-15	       0        1        1
P209	  0.06320778	       0        1        1
P210	  0.99987473	       0        1        1
P211	 0.053240696	       0        1        1
P212	0.0031108321	       0        1        1
P213	  0.13295025	       0        1        1
P214	 0.055742829	       0        1        1
P215	  0.10282592	       0        1        1
P216	 0.069294898	       0        1        1
rec17	   247.89902	   1e-06     1000        1
P317	  0.25491456	       0        1        1
P417	  0.11324645	       0        1        1
P217	 0.015530967	       0        1        1
rec18	   470.07545	   1e-06     1000        1
P318	  0.34122448	       0        1        1
P418	2.1465414e-13	       0        1        1
P218	   0.3604926	       0        1        1
rec19	    105.7038	   1e-06     1000        1
P319	  0.83925989	       0        1        1
P419	  0.66302494	       0        1        1
P219	  0.10549622	       0        1        1
rec20	   454.40396	   1e-06     1000        1
P320	  0.32376543	       0        1        1
P420	 0.037861226	       0        1        1
P220	  0.18378648	       0        1        1
rec21	   227.82486	   1e-06     1000        1
P321	  0.55737514	       0        1        1
P421	 0.013638279	       0        1        1
P221	  0.04906603	       0        1        1
rec22	   296.92859	   1e-06     1000        1
P322	  0.13350682	       0        1        1
P422	  0.42769883	       0        1        1
anchalpha88	  0.40670903	     0.1      1.5        1
anchalpha01	  0.86539727	     0.1      1.5        1
anchL5088	   10.616194	       1       20        1
anchL5001	   10.924129	       6       15        1
constanteco	   1.4097157	     0.2      2.2        1
l50eco	    12.82697	       2       20        1
constantpel	   0.4588519	     0.2      1.5        1
l50pel	   14.269684	       2       20        1
